1599295410;777;28.65;29.66;742.97
1599295420;777;28.65;29.66;742.97
1599295431;777;28.64;29.54;742.98
1599295441;777;28.66;29.47;742.98
1599295451;779;28.58;29.50;742.87
1599295461;780;28.66;29.52;742.94
1599295471;782;28.66;29.48;742.97
1599295481;785;28.68;29.46;742.96
1599295491;788;28.68;29.49;742.95
1599295501;790;28.70;29.49;742.97
1599295511;791;28.68;29.66;743.00
1599295521;791;28.67;29.65;742.97
1599295531;791;28.67;29.64;743.00
1599295541;789;28.69;29.60;743.00
1599295551;787;28.70;29.40;743.01
1599295561;785;28.72;29.39;743.06
1599295571;785;28.71;29.37;742.98
1599295581;784;28.70;29.36;743.01
1599295591;785;28.69;29.37;743.02
1599295601;783;28.70;29.39;742.99
1599295611;782;28.71;29.38;742.98
1599295621;779;28.70;29.42;743.01
1599295632;779;28.69;29.47;743.00
1599295642;780;28.59;29.46;742.84
1599295652;781;28.66;29.45;742.99
1599295662;780;28.66;29.47;742.97
1599295672;780;28.66;29.50;742.96
1599295682;780;28.65;29.51;743.01
1599295692;780;28.68;29.50;743.00
1599295702;780;28.68;29.54;742.96
1599295712;780;28.69;29.50;743.00
1599295722;780;28.68;29.51;742.98
1599295732;782;28.67;29.52;742.95
1599295742;781;28.69;29.50;743.00
1599295752;782;28.70;29.49;742.97
1599295762;782;28.69;29.52;742.98
1599295772;781;28.68;29.49;742.95
1599295782;781;28.68;29.47;742.94
1599295792;782;28.65;29.53;742.97
1599295802;782;28.67;29.52;742.97
1599295812;787;28.67;29.52;742.98
1599295823;786;28.68;29.54;742.99
1599295833;784;28.62;29.49;742.88
1599295843;782;28.69;29.45;742.96
1599295853;781;28.69;29.51;742.98
1599295863;782;28.68;29.52;742.98
1599295873;783;28.68;29.53;742.96
1599295883;783;28.69;29.49;743.02
1599295893;783;28.70;29.44;743.01
1599295903;782;28.69;29.42;742.96
1599295913;781;28.70;29.39;742.97
1599295923;781;28.68;29.41;742.94
1599295933;781;28.69;29.42;742.92
1599295943;781;28.70;29.40;742.97
1599295953;780;28.70;29.42;742.93
1599295963;778;28.66;29.37;742.86
1599295973;778;28.75;29.31;742.97
1599295983;777;28.74;29.32;742.98
1599295993;775;28.74;29.42;742.98
1599296003;775;28.73;29.37;742.99
1599296013;774;28.74;29.36;742.98
1599296024;773;28.71;29.37;742.93
1599296034;771;28.74;29.32;742.94
1599296044;770;28.73;29.32;742.97
1599296054;769;28.72;29.36;742.95
1599296064;769;28.75;29.37;742.93
1599296074;770;28.75;29.36;742.99
1599296084;770;28.75;29.37;742.95
1599296094;771;28.75;29.35;742.93
1599296104;770;28.77;29.34;742.95
1599296114;770;28.75;29.35;742.95
1599296124;768;28.75;29.35;742.95
1599296134;767;28.78;29.33;742.98
1599296144;765;28.80;29.38;742.97
1599296154;764;28.72;29.58;742.91
1599296164;763;28.66;29.83;742.92
1599296174;762;28.71;29.82;742.98
1599296184;762;28.73;29.75;742.93
1599296194;762;28.71;29.68;742.92
1599296204;761;28.75;29.67;742.93
1599296214;760;28.73;29.65;742.97
1599296225;759;28.73;29.61;742.99
1599296235;758;28.71;29.65;742.93
1599296245;758;28.75;29.62;742.95
1599296255;758;28.78;29.59;742.98
1599296265;758;28.79;29.47;742.92
1599296275;757;28.78;29.48;742.92
1599296285;756;28.79;29.54;742.96
1599296295;756;28.76;29.49;742.92
1599296305;754;28.74;29.56;742.96
1599296315;753;28.76;29.62;742.94
1599296325;752;28.75;29.60;742.95
1599296335;752;28.77;29.51;742.95
1599296345;754;28.66;29.53;742.78
1599296355;756;28.73;29.52;742.94
1599296365;757;28.74;29.57;742.94
1599296375;757;28.73;29.61;742.94
1599296385;757;28.72;29.57;742.97
1599296395;756;28.72;29.57;742.86
1599296405;755;28.71;29.57;742.92
1599296416;755;28.69;29.58;742.88
1599296426;756;28.69;29.52;742.83
1599296436;758;28.69;29.54;742.88
1599296446;760;28.71;29.58;742.87
1599296456;762;28.68;29.69;742.93
1599296466;764;28.69;29.66;742.85
1599296476;765;28.68;29.67;742.89
1599296486;765;28.70;30.11;742.91
1599296496;768;28.65;30.01;742.87
1599296506;770;28.69;29.80;742.88
1599296516;772;28.74;29.67;742.96
1599296526;771;28.73;29.64;742.83
1599296536;770;28.75;29.57;742.89
1599296546;771;28.74;29.63;742.88
1599296556;775;28.75;29.78;742.85
1599296566;777;28.71;29.79;742.90
1599296576;778;28.69;29.83;742.85
1599296586;778;28.66;29.81;742.86
1599296596;778;28.66;29.83;742.88
1599296606;779;28.63;29.96;742.84
1599296617;778;28.61;30.00;742.83
1599296627;778;28.63;29.99;742.89
1599296637;778;28.61;29.93;742.86
1599296647;776;28.63;29.95;742.92
1599296657;774;28.60;30.08;742.92
1599296667;773;28.63;30.72;742.93
1599296677;774;28.46;30.18;742.71
1599296687;776;28.58;30.03;742.91
1599296697;778;28.55;30.05;742.84
1599296707;779;28.63;29.94;742.90
1599296717;779;28.57;29.90;742.88
1599296727;781;28.46;29.92;742.87
1599296737;783;28.50;29.95;742.86
1599296747;783;28.55;30.01;742.90
1599296757;783;28.53;30.11;742.81
1599296767;785;28.53;30.08;742.85
1599296777;785;28.56;29.98;742.93
1599296787;785;28.49;29.93;742.83
1599296797;782;28.55;29.82;742.93
1599296808;780;28.54;29.88;742.90
1599296818;780;28.54;29.77;742.87
1599296828;781;28.50;29.82;742.88
1599296838;783;28.49;29.89;742.89
1599296848;783;28.49;29.85;742.91
1599296858;782;28.47;29.78;742.88
1599296868;780;28.46;29.66;742.84
1599296878;779;28.49;29.80;742.89
1599296888;778;28.49;29.93;742.93
1599296898;776;28.46;30.11;742.82
1599296908;777;28.44;30.08;742.91
1599296918;775;28.47;30.00;742.87
1599296928;775;28.48;29.84;742.92
1599296938;777;28.44;30.04;742.89
1599296948;775;28.42;30.12;742.91
1599296958;773;28.42;30.06;742.95
1599296968;772;28.42;30.09;742.90
1599296978;773;28.42;30.03;742.97
1599296988;773;28.41;30.16;742.91
1599296998;772;28.43;30.09;742.94
1599297009;772;28.42;30.09;742.92
1599297019;770;28.37;30.23;742.88
1599297029;769;28.37;30.46;742.98
1599297039;767;28.34;30.32;742.93
1599297049;765;28.33;30.26;742.90
1599297059;764;28.12;30.27;742.71
1599297069;762;28.25;30.29;742.93
1599297079;764;28.22;30.39;742.92
1599297089;766;28.20;30.36;742.91
1599297099;767;28.18;30.47;742.93
1599297109;768;28.14;30.39;742.72
1599297119;768;28.27;30.35;742.87
1599297129;768;28.25;30.42;742.85
1599297139;767;28.26;30.59;742.86
1599297149;765;28.26;30.65;742.88
1599297159;764;28.24;31.00;742.88
1599297169;763;28.31;30.88;742.88
1599297179;762;28.38;30.79;742.91
1599297189;762;28.33;30.65;742.86
1599297200;762;28.29;30.61;742.92
1599297210;759;28.36;30.98;742.90
1599297220;759;28.33;30.48;742.91
1599297230;757;28.38;30.33;742.91
1599297240;757;28.37;30.29;742.92
1599297250;757;28.38;30.31;742.91
1599297260;759;28.35;30.25;742.91
1599297270;761;28.36;30.24;742.94
1599297280;760;28.35;30.22;742.84
1599297290;759;28.28;30.25;742.89
1599297300;757;28.25;30.16;742.74
1599297310;755;28.34;30.13;742.84
1599297320;757;28.37;30.04;742.92
1599297330;757;28.34;29.99;742.88
1599297340;757;28.31;30.06;742.86
1599297350;755;28.31;30.16;742.84
1599297360;753;28.37;30.14;742.88
1599297370;751;28.34;30.22;742.87
1599297380;748;28.31;30.32;742.86
1599297390;744;28.28;30.40;742.89
1599297401;742;28.29;30.38;742.82
1599297411;740;28.25;30.34;742.91
1599297421;740;28.26;30.40;742.88
1599297431;738;28.26;30.42;742.84
1599297441;739;28.27;30.42;742.79
1599297451;739;28.27;30.41;742.83
1599297461;738;28.26;30.47;742.82
1599297471;737;28.23;30.49;742.82
1599297481;738;28.22;30.50;742.81
1599297491;740;28.22;30.57;742.81
1599297501;741;28.20;30.53;742.81
1599297511;741;28.23;30.52;742.84
1599297521;742;28.21;30.50;742.86
1599297531;743;28.21;30.47;742.84
1599297541;745;28.21;30.54;742.85
1599297551;745;28.22;30.62;742.89
1599297561;744;28.22;30.75;742.87
1599297571;743;28.17;30.81;742.82
1599297581;743;28.17;30.83;742.79
1599297592;744;28.18;30.81;742.78
1599297602;744;28.17;30.89;742.86
1599297612;744;28.17;30.85;742.83
1599297622;743;28.19;30.78;742.82
1599297632;743;28.12;30.85;742.82
1599297642;741;28.13;30.83;742.81
1599297652;741;28.19;30.76;742.76
1599297662;740;28.18;30.79;742.76
1599297672;738;28.21;30.87;742.77
1599297682;738;28.21;31.12;742.81
1599297692;739;28.25;31.06;742.87
1599297702;741;28.33;30.84;742.86
1599297712;741;28.33;30.83;742.80
1599297722;742;28.34;30.82;742.86
1599297732;741;28.32;30.83;742.77
1599297742;739;28.35;30.63;742.79
1599297752;736;28.35;30.51;742.81
1599297762;735;28.29;30.68;742.75
1599297772;735;28.34;30.59;742.77
1599297782;735;28.32;30.63;742.77
1599297793;735;28.34;30.58;742.78
1599297803;735;28.41;30.39;742.79
1599297813;736;28.38;30.36;742.71
1599297823;738;28.37;30.37;742.76
1599297833;740;28.32;30.40;742.77
1599297843;741;28.23;30.41;742.79
1599297853;744;28.21;30.50;742.77
1599297863;747;28.24;30.52;742.78
1599297873;749;28.23;30.43;742.75
1599297883;751;28.21;30.44;742.76
1599297893;751;28.21;30.47;742.70
1599297903;751;28.18;30.74;742.78
1599297913;752;28.13;30.57;742.72
1599297923;753;28.13;30.70;742.77
1599297933;752;28.13;30.82;742.76
1599297943;751;28.17;30.82;742.83
1599297953;751;28.18;30.74;742.78
1599297963;751;28.20;30.69;742.71
1599297973;751;28.21;30.68;742.77
1599297984;750;28.20;30.63;742.77
1599297994;749;28.17;30.65;742.77
1599298004;750;28.18;30.68;742.72
1599298014;750;28.17;30.68;742.75
1599298024;749;28.19;30.61;742.71
1599298034;748;28.19;30.74;742.72
1599298044;748;28.22;30.68;742.73
1599298054;749;28.20;30.69;742.73
1599298064;749;28.18;30.87;742.81
1599298074;750;28.23;30.76;742.81
1599298084;749;28.22;30.55;742.82
1599298094;749;28.23;30.63;742.76
1599298104;749;28.21;30.56;742.81
1599298114;748;28.18;30.64;742.83
1599298124;748;28.19;30.62;742.80
1599298134;747;28.22;30.57;742.77